panel_code,panel_name,specimen,evidence_source_row,notes,test_code,sort_order
CN-LAB-LIPIDS,血脂,血清、血浆,286,项目维护的常用成人血脂组合,2000604A,5
CN-LAB-LIPIDS,血脂,血清、血浆,286,项目维护的常用成人血脂组合,2000704A,6
CN-LAB-FASTING-GLUCOSE,空腹血糖,血清、血浆,240,项目维护的成人空腹血糖 orderable,1700104A,1
CN-LAB-HBA1C,糖化血红蛋白,全血,338,项目维护的成人糖化血红蛋白 orderable,1100301A,1
CN-LAB-THYROID,甲状腺功能,血清、血浆,399,项目维护的常用成人甲状腺功能组合,1200604A,1
CN-LAB-THYROID,甲状腺功能,血清、血浆,399,项目维护的常用成人甲状腺功能组合,1200704A,2
CN-LAB-THYROID,甲状腺功能,血清、血浆,399,项目维护的常用成人甲状腺功能组合,1200804A,3
CN-LAB-THYROID,甲状腺功能,血清、血浆,399,项目维护的常用成人甲状腺功能组合,1200904A,4
CN-LAB-THYROID,甲状腺功能,血清、血浆,399,项目维护的常用成人甲状腺功能组合,1201004A,5
CN-LAB-COAGULATION,凝血功能,血浆,55,项目维护的常用成人凝血组合,0500103A,1
CN-LAB-COAGULATION,凝血功能,血浆,55,项目维护的常用成人凝血组合,0500203A,2
CN-LAB-COAGULATION,凝血功能,血浆,55,项目维护的常用成人凝血组合,0500303A,3
CN-LAB-COAGULATION,凝血功能,血浆,55,项目维护的常用成人凝血组合,0500403A,4
CN-LAB-COAGULATION,凝血功能,血浆,55,项目维护的常用成人凝血组合,0501703A,5
CN-LAB-INFLAMMATION,炎症指标,混合标本,461,项目维护的常用成人炎症指标组合,1101405A,1
CN-LAB-INFLAMMATION,炎症指标,混合标本,461,项目维护的常用成人炎症指标组合,1101504A,2
CN-LAB-INFLAMMATION,炎症指标,混合标本,461,项目维护的常用成人炎症指标组合,0300101A,3
CN-LAB-CARDIAC,心肌标志物,血清、血浆,319,项目维护的常用成人心肌标志物组合,2100104A,1
CN-LAB-CARDIAC,心肌标志物,血清、血浆,319,项目维护的常用成人心肌标志物组合,2100304A,2
CN-LAB-CARDIAC,心肌标志物,血清、血浆,319,项目维护的常用成人心肌标志物组合,2100404A,3
CN-LAB-CARDIAC,心肌标志物,血清、血浆,319,项目维护的常用成人心肌标志物组合,2100504A,4
CN-LAB-CARDIAC,心肌标志物,血清、血浆,319,项目维护的常用成人心肌标志物组合,2100604A,5
CN-LAB-CARDIAC,心肌标志物,血清、血浆,319,项目维护的常用成人心肌标志物组合,2100704A,6
CN-LAB-URINALYSIS,尿常规,尿液,100,映射表计价说明明确列出尿酸碱度比重蛋白尿糖酮体胆红素及尿胆原,0600110D,1
CN-LAB-URINALYSIS,尿常规,尿液,100,映射表计价说明明确列出尿酸碱度比重蛋白尿糖酮体胆红素及尿胆原,0600210D,2
CN-LAB-URINALYSIS,尿常规,尿液,100,映射表计价说明明确列出尿酸碱度比重蛋白尿糖酮体胆红素及尿胆原,0600310D,3
CN-LAB-URINALYSIS,尿常规,尿液,100,映射表计价说明明确列出尿酸碱度比重蛋白尿糖酮体胆红素及尿胆原,0600410D,4
CN-LAB-URINALYSIS,尿常规,尿液,100,映射表计价说明明确列出尿酸碱度比重蛋白尿糖酮体胆红素及尿胆原,0600510D,5
CN-LAB-URINALYSIS,尿常规,尿液,100,映射表计价说明明确列出尿酸碱度比重蛋白尿糖酮体胆红素及尿胆原,0600610D,6
CN-LAB-URINALYSIS,尿常规,尿液,100,映射表计价说明明确列出尿酸碱度比重蛋白尿糖酮体胆红素及尿胆原,0600710B,7
CN-LAB-URINALYSIS,尿常规,尿液,100,映射表计价说明明确列出尿酸碱度比重蛋白尿糖酮体胆红素及尿胆原,0600810D,8
CN-LAB-URINALYSIS,尿常规,尿液,100,映射表计价说明明确列出尿酸碱度比重蛋白尿糖酮体胆红素及尿胆原,0600910D,9
CN-LAB-URINALYSIS,尿常规,尿液,100,映射表计价说明明确列出尿酸碱度比重蛋白尿糖酮体胆红素及尿胆原,0601010D,10
CN-LAB-HBV-5,乙肝五项,血清、血浆,574,项目维护的常用乙型肝炎血清学组合,2400104B,1
CN-LAB-HBV-5,乙肝五项,血清、血浆,574,项目维护的常用乙型肝炎血清学组合,2400204B,2
CN-LAB-HBV-5,乙肝五项,血清、血浆,574,项目维护的常用乙型肝炎血清学组合,2400304B,3
CN-LAB-HBV-5,乙肝五项,血清、血浆,574,项目维护的常用乙型肝炎血清学组合,2400404B,4
CN-LAB-HBV-5,乙肝五项,血清、血浆,574,项目维护的常用乙型肝炎血清学组合,2400504B,5
CN-LAB-TUMOR-BASIC,基础肿瘤标志物组合,血清、血浆,621,项目维护的基础成人肿瘤标志物组合；不用于筛查或诊断决策,1600104A,1
CN-LAB-TUMOR-BASIC,基础肿瘤标志物组合,血清、血浆,621,项目维护的基础成人肿瘤标志物组合；不用于筛查或诊断决策,1600204A,2
CN-LAB-TUMOR-BASIC,基础肿瘤标志物组合,血清、血浆,621,项目维护的基础成人肿瘤标志物组合；不用于筛查或诊断决策,1600604A,3
CN-LAB-TUMOR-BASIC,基础肿瘤标志物组合,血清、血浆,621,项目维护的基础成人肿瘤标志物组合；不用于筛查或诊断决策,1600704A,4
CN-LAB-TUMOR-BASIC,基础肿瘤标志物组合,血清、血浆,621,项目维护的基础成人肿瘤标志物组合；不用于筛查或诊断决策,1600804A,5
CN-LAB-TUMOR-BASIC,基础肿瘤标志物组合,血清、血浆,621,项目维护的基础成人肿瘤标志物组合；不用于筛查或诊断决策,1601504A,6
CN-LAB-TUMOR-BASIC,基础肿瘤标志物组合,血清、血浆,621,项目维护的基础成人肿瘤标志物组合；不用于筛查或诊断决策,1601604A,7
